id,marca,modelo,ano,cor,quilometragem,preco,combustivel,cambio,placa,chassi,disponivel,data_cadastro
e1506b84-d603-43e6-ae3e-5167dc5af992,Honda,HR-V,2005,Branco,294,50500.0,Elétrico,CVT,HJS-3M33,69227548844IisVEp,Não,2025-04-24
f7bddb08-2ec8-4a36-9f07-8b32e50d3325,Fiat,Toro,2020,Cinza,125776,30750.0,Diesel,Manual,DJU-2J39,66675053391SyYEjr,Não,2025-04-06
7056ccfa-1814-4dde-bfed-d83cf50c49fc,Ford,Ka,2025,Branco,6178,88000.0,Flex,CVT,KLW-2F55,04797266205SUjDdd,Sim,2025-03-17
431b70d0-4c28-42b3-abb6-9720b47eae06,Honda,HR-V,2018,Prata,94563,74100.0,Flex,Manual,PYJ-1Z01,58984568558VJKuQG,Não,2025-05-07
b4cdf553-dd16-4df7-8b03-84db52a427ac,Honda,Civic,2008,Vermelho,156726,23500.0,Elétrico,Automático,CWB-7J04,45649304884hIuDCW,Sim,2025-06-16
3b198c37-d8cc-4122-b023-7796bd509d9e,Honda,HR-V,2013,Cinza,143525,54500.0,Gasolina,Automático,FVH-0Y45,75713930423WHYijC,Não,2025-05-10
e307e288-ec81-4b35-ab2f-b63cf613c896,Volkswagen,Gol,2022,Vermelho,74831,36550.0,Etanol,CVT,MLE-9K13,01534097300JnEmPp,Sim,2025-03-07
fdfe29a7-8705-44fb-8e9d-9cad029d1a66,Chevrolet,S10,2025,Azul,50121,37000.0,Diesel,Automático,EUZ-7V14,47102049973XeDxZa,Sim,2025-01-03
76272f19-14aa-447d-b971-8358dcdf5c93,Fiat,Argo,2018,Preto,110066,32500.0,Diesel,Manual,CGZ-1H83,30874761806rXRBln,Sim,2025-03-04
7e662eb2-66ba-4183-9bae-83d12a0a21bb,Chevrolet,S10,2011,Vermelho,61575,40500.0,Etanol,Manual,ICC-0G21,88751181910lZuisn,Não,2025-02-04
6f70cd21-6857-4475-a30d-623e96b21c96,Toyota,Corolla,2012,Cinza,142043,43000.0,Elétrico,Manual,PJR-8A06,63005874792pXJqxJ,Sim,2025-05-28
70e54782-a3a1-47ee-a33e-f22885529f7f,Ford,Ranger,2006,Prata,3947,15500.0,Etanol,Automático,HIQ-0C63,82238000590VrWTKw,Sim,2025-02-24
7c4d2735-876c-4e5c-ae13-5416bf23a5a8,Fiat,Argo,2005,Branco,98058,32500.0,Gasolina,Automático,LPT-1V31,70684503722edwaWU,Sim,2025-01-08
ac0b145c-7056-441a-a90e-0bb3435ffe73,Fiat,Mobi,2015,Preto,100580,53000.0,Flex,Manual,CNB-4X49,70404867680QcYIZE,Sim,2025-03-14
790ded22-b82c-4b8c-becc-9540d2dfbca3,Toyota,Corolla,2007,Preto,122246,22500.0,Elétrico,Automático,JWX-5O79,87983959786LUojAJ,Não,2025-05-29
fc5f14e1-58c2-40eb-a502-64a1590505f5,Toyota,Hilux,2023,Preto,35619,70200.0,Elétrico,Manual,ORR-5N35,95808130015ECMylJ,Não,2025-04-08
e07340ea-a36c-4bc6-82a6-d1dee7946ce7,Honda,Civic,2010,Cinza,91886,41500.0,Flex,Manual,WJQ-3R42,98092905942gYYXVc,Não,2025-04-14
491f0bff-fbb0-4fc9-b7a2-4d88d310e771,Hyundai,Tucson,2021,Preto,2322,30400.0,Gasolina,Automático,JRT-7W68,08148392291BxjKfh,Não,2025-03-23
ecc28604-1e5d-4409-aa6f-a94ba9c18232,Volkswagen,T-Cross,2011,Cinza,65035,21000.0,Flex,Manual,NBK-5X03,04718994112jeigBG,Sim,2025-01-21
6baa19fc-1780-4868-85fa-aa162b485059,Honda,Civic,2007,Cinza,187916,37500.0,Diesel,CVT,TAH-5M70,99552224549qvsOBg,Sim,2025-03-19
bc8fe58c-fb14-482d-9782-4159e18836c2,Chevrolet,Onix,2005,Vermelho,61905,24000.0,Etanol,Automático,QTR-1K35,07692868842aOvHvN,Não,2025-05-22
a8666e44-ebf0-479c-aa47-802cd9c5d8e4,Ford,Ka,2010,Preto,198152,36000.0,Gasolina,Manual,UHQ-9Y89,42636200550inWcUb,Sim,2025-03-11
42a0dcf8-d143-4381-b4cd-e500ed08ea0e,Renault,Sandero,2014,Cinza,171245,22000.0,Diesel,Manual,CJG-1U91,45284719184AECagd,Não,2025-03-06
315b6731-6060-4206-9890-3f0e51c766de,Volkswagen,Gol,2025,Cinza,23769,71000.0,Elétrico,Manual,HTG-8Q79,27956944411HYHEZe,Sim,2025-01-26
4e47e3f0-7f57-4138-8ce1-d756fd72556e,Toyota,Etios,2012,Azul,150040,51500.0,Diesel,Automático,DYN-1P39,71312955900DAkvHz,Não,2025-03-02
f84f130b-5fdb-48b4-a967-470387720fcd,Ford,Fiesta,2008,Branco,55731,27500.0,Etanol,Manual,PRO-8V89,29075356915FHCUoZ,Sim,2025-01-06
cc0eb24e-612a-498e-acfa-678b147b7ffe,Ford,Fiesta,2005,Prata,120872,33500.0,Flex,CVT,JUM-8T77,68336334238tbctHp,Não,2025-01-30
ffc98351-cdee-4a99-ba33-33de9ba0bebd,Fiat,Uno,2006,Preto,96260,53500.0,Gasolina,CVT,TZA-7B97,91871926882yhYLBl,Sim,2025-03-13
2723abf1-662b-41fe-a5fe-21d0123ae234,Honda,Fit,2021,Preto,40136,86400.0,Flex,Automático,DIM-9I56,96762525218lSnLnC,Não,2025-05-26
973bd391-9b18-4d86-95be-ce483e16f4f2,Hyundai,i30,2025,Prata,39462,96000.0,Elétrico,Manual,LSC-2D75,67292735997OJjNUd,Sim,2025-05-27
3e645a5a-4bde-4478-93de-70add7138299,Chevrolet,Cruze,2014,Prata,45069,34500.0,Etanol,Manual,IXG-1E74,25739313578YJgPEr,Não,2025-02-03
a0d17432-8f68-47c7-aed2-1052a6d4c52f,Toyota,Hilux,2010,Branco,129719,53500.0,Flex,Manual,OND-7M39,71929759497TYjBgZ,Sim,2025-04-06
176f5527-093e-47d5-968f-dca6fa7f1bce,Renault,Logan,2006,Vermelho,156609,19500.0,Flex,CVT,WFY-9W57,76142506729hjvXQg,Não,2025-05-11
2b166947-7c79-4b07-b0aa-fb29e11f4306,Toyota,Etios,2016,Prata,26438,55000.0,Flex,CVT,HUN-2B61,06225558117CXUKSX,Sim,2025-05-06
4620c214-7956-4026-a483-b684b2c4bf97,Fiat,Argo,2015,Vermelho,189458,33000.0,Etanol,CVT,FYS-6Z93,88828700986bwJSJu,Sim,2025-06-18
14027fbc-fae2-4f62-baae-14be0a363c59,Fiat,Uno,2013,Vermelho,22230,29500.0,Diesel,Automático,MTQ-0R93,14291984347TJFbor,Não,2025-05-17
8d8b5ff0-66e5-48c0-a547-2db51f61ecea,Ford,EcoSport,2011,Prata,123730,25000.0,Etanol,Manual,MWV-8O19,96829904431epKTdH,Sim,2025-05-13
2794afb5-919c-4909-955b-67b60b656a4b,Honda,City,2023,Branco,98986,27000.0,Diesel,CVT,LQA-0I50,99410146154alWgif,Não,2025-02-24
3caad152-7216-4c22-adcd-684c66d7a9a4,Toyota,Corolla,2012,Prata,174311,54000.0,Gasolina,Automático,ILH-3M48,03865529194VaqXWc,Sim,2025-03-17
bd67776e-16c1-4398-9e33-9caa4c7318fe,Renault,Sandero,2016,Branco,153339,39600.0,Elétrico,Manual,IFI-5U56,44090568657qUCcna,Não,2025-01-21
3b61b08a-402f-4422-b802-4dd94427c6a6,Chevrolet,Cruze,2014,Preto,46458,55500.0,Gasolina,Manual,MWN-0Q75,21887939350mcVxUM,Não,2025-01-27
c3915ea4-c7f6-4866-9655-6f208aa1c57a,Hyundai,Creta,2015,Vermelho,67422,43500.0,Etanol,Automático,ZMS-7Q62,65171871069xfMxmS,Não,2025-04-30
1398e3bb-78ea-46f8-a6cf-c5a62972788c,Ford,EcoSport,2013,Preto,194988,48500.0,Flex,Automático,RUJ-4Z90,06623367132YNeUQF,Sim,2025-02-11
d245e3b1-b8e7-449f-9de9-2abd6a56e314,Ford,EcoSport,2011,Azul,131419,28500.0,Etanol,CVT,GBM-0Z49,32750606965TcXfov,Sim,2025-02-12
0a210d78-ff6e-4468-b065-9be55d0b1738,Chevrolet,Cruze,2019,Cinza,174088,66500.0,Diesel,Manual,UDU-7W01,28296611241ubfTjQ,Sim,2025-06-11
61bb9b20-7324-4e0b-b2c6-50d3cd183aa9,Fiat,Uno,2011,Cinza,32429,54000.0,Gasolina,CVT,SGV-7Q00,87447524312ZYqoDS,Não,2025-03-25
5ae885ac-9bff-444a-aebc-91423d14bf46,Chevrolet,Cruze,2010,Cinza,25837,19500.0,Flex,Manual,JPK-9R44,73207289725UhgLgM,Sim,2025-05-20
fa18d499-61c8-434c-ba73-aba278838017,Renault,Kwid,2018,Cinza,54828,73450.0,Flex,Automático,IXE-8V08,81796038184XNizDz,Não,2025-02-04
